entity,source_file
Medicine,arrow-international-llc-subsidiary-teleflex-inc-recalls-arrow-trerotola-percutaneous-thrombolytic.json
Health,intera-oncology-recalls-intera-3000-hepatic-artery-infusion-pump-due-faster-expected-flow-rates-may.json
Health,haimen-shengbang-laboratory-equipment-co-ltd-recalls-viral-transport-media-containers-are-not.json
Medicine,becton-dickinson-recalls-intraosseous-needle-set-kits-intraosseous-manual-driver-kits-and.json
Medicine,hamilton-medical-ag-recalls-hamilton-c6-intensive-care-ventilator-due-potential-water-ingress-may.json
Medicine,baxter-healthcare-corporation-recalls-volara-system-risk-respiratory-distress-ventilated-patients.json
Amides,remel-inc-recalls-thermo-scientific-gram-negative-ivd-ast-sensititre-plate-risk-potential-false.json
Medicine,philips-respironics-recalls-certain-v60-and-v60-plus-ventilators-expired-adhesive-may-cause.json
Medicine,medtronic-inc-recalls-hawkone-directional-atherectomy-system-due-risk-tip-damage-during-use.json
Medicine,atrium-medical-corporation-recalls-icast-covered-stent-potential-balloon-or-catheter-hub-separation.json
Viruses,sd-biosensor-recalls-standard-q-covid-19-ag-home-tests-are-not-authorized-cleared-or-approved-fda.json
Medicine,baxter-healthcare-corporation-recalls-clearlink-basic-solution-set-duovent-risk-leaks-may-expose.json
Chemical safety,base10-genetics-recalls-rnastill-mtm-specimen-collection-kits-are-not-authorized-cleared-or-approved.json
Medicine,philips-respironics-recalls-certain-trilogy-evo-ventilators-potential-health-risks-pe-pur-foam.json
Health,lusys-laboratories-inc-recalls-covid-19-antigen-tests-nasalsaliva-and-covid-19-iggigm-antibody-tests.json
Medicine,medtronic-recalls-nim-contact-reinforced-emg-endotracheal-tube-and-nim-standard-reinforced-emg.json
Catheters,teleflex-and-arrow-international-llc-recall-arrow-mac-two-lumen-central-venous-access-and-pressure.json
Medicine,philips-respironics-recalls-all-v60-and-v60-plus-ventilators-power-issue-may-cause-ventilator-stop.json
Medicine,getinge-usa-sales-inc-recalls-flow-c-and-flow-e-anesthesia-systems-cracked-or-broken-suction-system.json
Medical technology,smiths-medical-recalls-certain-medfusion-3500-and-4000-syringe-infusion-pumps-software-issues-may.json
Medical specialties,medtronic-recalls-turbohawk-plus-directional-atherectomy-system-due-risk-tip-damage-during-use.json
Medicine,baxter-hillrom-recalls-watchcare-incontinence-management-system-ims-risk-rf-interference-nearby.json
Health,north-american-diagnostics-recalls-oral-rapid-sars-cov-2-rapid-antigen-test-kits-are-not-authorized.json
Viruses,celltrion-usa-recalls-certain-point-care-celltrion-diatrust-covid-19-ag-rapid-tests-false-positive.json
Biopsy,medtronic-recalls-synergy-cranial-and-stealthstation-s7-cranial-software-due-potential-risk.json
Medical specialties,medtronic-recalls-harmony-delivery-catheter-part-transcatheter-pulmonary-valve-tpv-system-risk.json
Catheters,covidien-llc-medtronic-recalls-palindrome-and-mahurkar-hemodialysis-catheters-due-catheter-hub.json
Medical specialties,abbott-medical-recalls-dragonfly-opstar-imaging-catheter-potential-loose-catheter-marker-band-may.json
Medicine,covidien-lp-recalls-puritan-bennett-980-series-ventilator-due-manufacturing-assembly-error.json
Respiratory therapy,vyaire-medical-recalls-bellavista-1000-and-1000e-series-ventilators-due-issues-software.json
Electric battery,insulet-recalls-omnipod-dash-insulin-management-systems-personal-diabetes-manager-pdm-risk-battery.json
Electric power,medtronic-recalls-heartware-hvad-system-batteries-due-battery-failure.json
